INFO:19/08/2018 20:57:51, Programa lanzado. Datos: Número de genes: 20, Probabilidad de mutación: 0.2, Genes seleccionados: 8
INFO:20/08/2018 11:11:27, Copio 3
INFO:20/08/2018 11:11:28, Copio 5
INFO:20/08/2018 11:11:28, Generación completada 13
INFO:20/08/2018 11:13:27, Copio 3
INFO:20/08/2018 11:13:27, Copio 6
INFO:20/08/2018 11:13:27, Copio 2
INFO:20/08/2018 11:13:27, Copio 10
INFO:20/08/2018 11:13:27, Fitness: #### [145, 141, 137, 115]
INFO:20/08/2018 11:13:27, Renumbering...
INFO:20/08/2018 11:13:27, 4 genes have been renumbered.
INFO:20/08/2018 11:13:27, Copio 3
INFO:20/08/2018 11:13:27, Copio 2
INFO:20/08/2018 11:13:27, Seleccionadoss 3 y 2
INFO:20/08/2018 11:13:27, Copio 3
INFO:20/08/2018 11:13:27, Copio 0
INFO:20/08/2018 11:13:27, Seleccionadoss 3 y 0
INFO:20/08/2018 11:13:27, Copio 4
INFO:20/08/2018 11:13:27, Copio 0
INFO:20/08/2018 11:13:27, Seleccionadoss 4 y 0
INFO:20/08/2018 11:13:27, Copio 2
INFO:20/08/2018 11:13:27, Copio 1
INFO:20/08/2018 11:13:27, Seleccionadoss 2 y 1
INFO:20/08/2018 11:13:27, Copio 7
INFO:20/08/2018 11:13:27, Copio 5
INFO:20/08/2018 11:13:27, Seleccionadoss 7 y 5
INFO:20/08/2018 11:13:27, Copio 7
INFO:20/08/2018 11:13:28, Copio 8
INFO:20/08/2018 11:13:28, Seleccionadoss 7 y 8
INFO:20/08/2018 11:13:28, Copio 9
INFO:20/08/2018 11:13:28, Copio 9
INFO:20/08/2018 11:13:28, Generación completada 14
INFO:20/08/2018 11:15:11, Copio 2
INFO:20/08/2018 11:15:11, Copio 10
INFO:20/08/2018 11:15:11, Copio 1
INFO:20/08/2018 11:15:11, Copio 6
INFO:20/08/2018 11:15:11, Fitness: #### [169, 153, 101, 98]
INFO:20/08/2018 11:15:11, Renumbering...
INFO:20/08/2018 11:15:11, 4 genes have been renumbered.
INFO:20/08/2018 11:15:11, Copio 3
INFO:20/08/2018 11:15:11, Copio 0
INFO:20/08/2018 11:15:11, Seleccionadoss 3 y 0
INFO:20/08/2018 11:15:11, Copio 0
